date,week,region,deaths,tests
2020-08-18,34,PL72,1.0,0.0
2020-08-18,34,PL81,1.0,0.0
2020-08-19,34,PL21,2.0,0.0
2020-08-19,34,PL22,6.0,0.0
2020-08-19,34,PL41,1.0,0.0
2020-08-19,34,PL42,2.0,0.0
2020-08-19,34,PL62,1.0,0.0
2020-08-19,34,PL71,2.0,0.0
2020-08-19,34,PL82,1.0,0.0
2020-08-19,34,PL9,2.0,0.0
2020-08-20,34,PL21,1.0,15993.0
2020-08-20,34,PL22,2.0,20491.0
2020-08-20,34,PL42,2.0,7542.0
2020-08-20,34,PL51,2.0,11776.0
2020-08-20,34,PL62,1.0,4046.0
2020-08-20,34,PL63,1.0,13693.0
2020-08-20,34,PL71,1.0,11644.0
2020-08-20,34,PL82,1.0,3174.0
2020-08-20,34,PL84,1.0,2960.0
2020-08-21,34,PL21,2.0,0.0
2020-08-21,34,PL22,3.0,0.0
2020-08-21,34,PL41,2.0,0.0
2020-08-21,34,PL43,1.0,0.0
2020-08-21,34,PL63,1.0,0.0
2020-08-21,34,PL72,1.0,0.0
2020-08-21,34,PL82,1.0,0.0
2020-08-21,34,PL9,2.0,0.0
2020-08-22,34,PL21,3.0,0.0
2020-08-22,34,PL22,4.0,0.0
2020-08-22,34,PL51,1.0,0.0
2020-08-22,34,PL71,1.0,0.0
2020-08-22,34,PL72,1.0,0.0
2020-08-22,34,PL82,1.0,0.0
2020-08-22,34,PL9,2.0,0.0
2020-08-23,34,PL22,1.0,0.0
2020-08-23,34,PL63,1.0,0.0
2020-08-23,34,PL9,2.0,0.0
2020-08-24,35,PL21,1.0,0.0
2020-08-24,35,PL61,1.0,0.0
2020-08-24,35,PL71,3.0,0.0
2020-08-25,35,PL21,3.0,0.0
2020-08-25,35,PL22,5.0,0.0
2020-08-25,35,PL41,2.0,0.0
2020-08-25,35,PL51,1.0,0.0
2020-08-25,35,PL61,1.0,0.0
2020-08-25,35,PL62,2.0,0.0
2020-08-25,35,PL71,2.0,0.0
2020-08-25,35,PL9,1.0,0.0
2020-08-26,35,PL21,6.0,0.0
2020-08-26,35,PL22,4.0,0.0
2020-08-26,35,PL51,2.0,0.0
2020-08-26,35,PL71,2.0,0.0
2020-08-26,35,PL81,1.0,0.0
2020-08-26,35,PL9,2.0,0.0
2020-08-27,35,PL21,2.0,0.0
2020-08-27,35,PL22,4.0,0.0
2020-08-27,35,PL43,1.0,0.0
2020-08-27,35,PL51,2.0,0.0
2020-08-27,35,PL61,1.0,0.0
2020-08-27,35,PL71,2.0,0.0
2020-08-27,35,PL81,1.0,0.0
2020-08-27,35,PL82,1.0,0.0
2020-08-27,35,PL9,1.0,0.0
2020-08-28,35,PL21,4.0,0.0
2020-08-28,35,PL22,1.0,0.0
2020-08-28,35,PL41,1.0,0.0
2020-08-28,35,PL61,1.0,0.0
2020-08-28,35,PL84,1.0,0.0
2020-08-28,35,PL9,1.0,0.0
2020-08-29,35,PL21,1.0,0.0
2020-08-29,35,PL22,3.0,0.0
2020-08-29,35,PL41,4.0,0.0
2020-08-29,35,PL62,1.0,0.0
2020-08-29,35,PL72,1.0,0.0
2020-08-29,35,PL82,2.0,0.0
2020-08-29,35,PL9,2.0,0.0
2020-08-30,35,PL9,1.0,0.0
2020-08-31,36,PL22,1.0,0.0
2020-08-31,36,PL52,1.0,0.0
2020-08-31,36,PL63,3.0,0.0
2020-08-31,36,PL82,1.0,0.0
2020-09-01,36,PL21,3.0,0.0
2020-09-01,36,PL22,7.0,0.0
2020-09-01,36,PL51,2.0,0.0
2020-09-01,36,PL52,1.0,0.0
2020-09-01,36,PL71,1.0,0.0
2020-09-01,36,PL84,1.0,0.0
2020-09-01,36,PL9,4.0,0.0
2020-09-02,36,PL21,5.0,0.0
2020-09-02,36,PL22,8.0,0.0
2020-09-02,36,PL41,1.0,0.0
2020-09-02,36,PL52,1.0,0.0
2020-09-02,36,PL71,1.0,0.0
2020-09-02,36,PL72,1.0,0.0
2020-09-02,36,PL82,2.0,0.0
2020-09-02,36,PL84,1.0,0.0
2020-09-03,36,PL21,3.0,0.0
2020-09-03,36,PL22,3.0,0.0
2020-09-03,36,PL43,1.0,0.0
2020-09-03,36,PL63,1.0,0.0
2020-09-03,36,PL71,1.0,0.0
2020-09-03,36,PL81,1.0,0.0
2020-09-03,36,PL82,2.0,0.0
2020-09-03,36,PL9,2.0,0.0
2020-09-04,36,PL21,3.0,0.0
2020-09-04,36,PL22,1.0,0.0
2020-09-04,36,PL41,2.0,0.0
2020-09-04,36,PL42,1.0,0.0
2020-09-04,36,PL72,1.0,0.0
2020-09-05,36,PL21,7.0,0.0
2020-09-05,36,PL22,1.0,0.0
2020-09-05,36,PL41,1.0,0.0
2020-09-05,36,PL63,1.0,0.0
2020-09-05,36,PL71,1.0,0.0
2020-09-05,36,PL82,2.0,0.0
2020-09-06,36,PL22,4.0,43101.0
2020-09-06,36,PL41,1.0,22832.0
2020-09-06,36,PL82,1.0,5887.0
2020-09-06,36,PL9,1.0,63590.0
2020-09-07,37,PL43,1.0,2105.0
2020-09-07,37,PL71,1.0,12651.0
2020-09-07,37,PL81,1.0,5510.0
2020-09-07,37,PL82,1.0,2381.0
2020-09-08,37,PL21,3.0,0.0
2020-09-08,37,PL22,2.0,0.0
2020-09-08,37,PL71,1.0,0.0
2020-09-08,37,PL82,2.0,0.0
2020-09-08,37,PL9,4.0,0.0
2020-09-09,37,PL21,1.0,0.0
2020-09-09,37,PL22,3.0,0.0
2020-09-09,37,PL41,1.0,0.0
2020-09-09,37,PL43,1.0,0.0
2020-09-09,37,PL63,1.0,0.0
2020-09-09,37,PL72,1.0,0.0
2020-09-09,37,PL82,1.0,0.0
2020-09-09,37,PL9,2.0,0.0
2020-09-10,37,PL22,1.0,0.0
2020-09-10,37,PL41,5.0,0.0
2020-09-10,37,PL43,1.0,0.0
