date,week,region,tests,confirmed,deaths,recovered
2020-04-10,15,CZ010,0.0,35.0,7.0,41.0
2020-04-10,15,CZ020,0.0,26.0,2.0,15.0
2020-04-10,15,CZ031,0.0,8.0,1.0,1.0
2020-04-10,15,CZ032,0.0,22.0,0.0,7.0
2020-04-10,15,CZ041,0.0,2.0,0.0,6.0
2020-04-10,15,CZ042,0.0,10.0,1.0,16.0
2020-04-10,15,CZ051,0.0,1.0,0.0,8.0
2020-04-10,15,CZ052,0.0,4.0,0.0,0.0
2020-04-10,15,CZ053,0.0,12.0,0.0,2.0
2020-04-10,15,CZ063,0.0,4.0,0.0,2.0
2020-04-10,15,CZ064,0.0,11.0,0.0,9.0
2020-04-10,15,CZ071,0.0,9.0,0.0,16.0
2020-04-10,15,CZ072,0.0,1.0,0.0,16.0
2020-04-10,15,CZ080,0.0,14.0,0.0,8.0
2020-04-11,15,CZ010,0.0,19.0,4.0,39.0
2020-04-11,15,CZ020,0.0,17.0,0.0,15.0
2020-04-11,15,CZ031,0.0,3.0,1.0,5.0
2020-04-11,15,CZ032,0.0,27.0,1.0,10.0
2020-04-11,15,CZ041,0.0,7.0,0.0,5.0
2020-04-11,15,CZ042,0.0,14.0,0.0,4.0
2020-04-11,15,CZ051,0.0,5.0,0.0,5.0
2020-04-11,15,CZ052,0.0,2.0,0.0,4.0
2020-04-11,15,CZ053,0.0,2.0,1.0,4.0
2020-04-11,15,CZ063,0.0,0.0,0.0,4.0
2020-04-11,15,CZ064,0.0,8.0,0.0,15.0
2020-04-11,15,CZ071,0.0,20.0,1.0,11.0
2020-04-11,15,CZ072,0.0,15.0,0.0,5.0
2020-04-11,15,CZ080,0.0,30.0,0.0,9.0
2020-04-12,15,CZ010,0.0,17.0,3.0,34.0
2020-04-12,15,CZ020,0.0,7.0,1.0,13.0
2020-04-12,15,CZ031,0.0,5.0,1.0,1.0
2020-04-12,15,CZ032,0.0,11.0,1.0,9.0
2020-04-12,15,CZ041,0.0,2.0,1.0,6.0
2020-04-12,15,CZ042,0.0,2.0,0.0,8.0
2020-04-12,15,CZ051,0.0,1.0,0.0,2.0
2020-04-12,15,CZ052,0.0,2.0,0.0,0.0
2020-04-12,15,CZ053,0.0,6.0,1.0,1.0
2020-04-12,15,CZ063,0.0,4.0,0.0,1.0
2020-04-12,15,CZ064,0.0,5.0,1.0,3.0
2020-04-12,15,CZ071,0.0,3.0,0.0,7.0
2020-04-12,15,CZ072,0.0,1.0,0.0,17.0
2020-04-12,15,CZ080,0.0,22.0,1.0,8.0
2020-04-13,16,CZ010,0.0,10.0,4.0,40.0
2020-04-13,16,CZ020,0.0,8.0,1.0,19.0
2020-04-13,16,CZ031,0.0,1.0,0.0,5.0
2020-04-13,16,CZ032,0.0,25.0,0.0,13.0
2020-04-13,16,CZ041,0.0,2.0,2.0,2.0
2020-04-13,16,CZ042,0.0,0.0,1.0,2.0
2020-04-13,16,CZ051,0.0,1.0,0.0,3.0
2020-04-13,16,CZ052,0.0,0.0,1.0,3.0
2020-04-13,16,CZ053,0.0,2.0,0.0,4.0
2020-04-13,16,CZ063,0.0,2.0,0.0,6.0
2020-04-13,16,CZ064,0.0,1.0,1.0,3.0
2020-04-13,16,CZ071,0.0,2.0,0.0,15.0
2020-04-13,16,CZ072,0.0,2.0,0.0,0.0
2020-04-13,16,CZ080,0.0,7.0,1.0,7.0
